DateTime_utc,NeutronCount_Epithermal_Cum1h,AirTemperature,AirHumidity_Relative,AirPressure,Precipitation
2015-06-30 17:00:00+00:00,1684.0,,,992.2,0.0
2015-06-30 18:00:00+00:00,1826.0,,,992.1,0.0
2015-06-30 19:00:00+00:00,1803.0,,,992.1,0.0
2015-06-30 20:00:00+00:00,1769.0,,,991.5,0.0
2015-06-30 21:00:00+00:00,1713.0,,,991.7,0.0
2015-06-30 22:00:00+00:00,1737.0,,,990.5,0.0
2015-06-30 23:00:00+00:00,1774.0,,,990.8,0.0
2015-07-01 00:00:00+00:00,1745.0,,,990.2,0.0
2015-07-01 01:00:00+00:00,1734.0,,,989.5,0.0
2015-07-01 02:00:00+00:00,1808.0,,,989.1,0.0
2015-07-01 03:00:00+00:00,1851.0,,,988.9,0.0
2015-07-01 04:00:00+00:00,1726.0,,,988.3,0.0
2015-07-01 05:00:00+00:00,1791.0,,,987.7,0.0
2015-07-01 06:00:00+00:00,1789.0,,,987.7,0.0
2015-07-01 07:00:00+00:00,1848.0,,,987.5,0.0
2015-07-01 08:00:00+00:00,1788.0,,,987.5,0.0
2015-07-01 09:00:00+00:00,1802.0,,,988.3,0.0
2015-07-01 10:00:00+00:00,1805.0,,,988.2,0.0
2015-07-01 11:00:00+00:00,1784.0,,,988.2,0.0
2015-07-01 12:00:00+00:00,1749.0,,,987.4,0.0
2015-07-01 13:00:00+00:00,1769.0,,,987.9,0.0
2015-07-01 14:00:00+00:00,1828.0,,,987.6,0.0
2015-07-01 15:00:00+00:00,1771.0,,,987.4,0.0
2015-07-01 16:00:00+00:00,1760.0,,,987.4,0.0
2015-07-01 17:00:00+00:00,1761.0,,,987.6,0.0
2015-07-01 18:00:00+00:00,1758.0,,,987.8,0.0
2015-07-01 19:00:00+00:00,1708.0,,,988.5,0.0
2015-07-01 20:00:00+00:00,1736.0,,,989.0,0.0
2015-07-01 21:00:00+00:00,1791.0,,,989.7,0.0
2015-07-01 22:00:00+00:00,1768.0,,,990.2,0.0
2015-07-01 23:00:00+00:00,1763.0,,,990.6,0.0
2015-07-02 00:00:00+00:00,1753.0,,,991.3,0.0
2015-07-02 01:00:00+00:00,1754.0,,,991.3,0.0
2015-07-02 02:00:00+00:00,1837.0,,,991.6,0.0
2015-07-02 03:00:00+00:00,1742.0,,,992.2,0.0
2015-07-02 04:00:00+00:00,1743.0,,,992.7,0.0
2015-07-02 05:00:00+00:00,1757.0,,,993.0,0.0
2015-07-02 06:00:00+00:00,1679.0,,,993.8,0.0
2015-07-02 07:00:00+00:00,1700.0,,,994.2,0.0
2015-07-02 08:00:00+00:00,1723.0,,,994.7,0.0
2015-07-02 09:00:00+00:00,1757.0,,,993.6,0.0
2015-07-02 10:00:00+00:00,1742.0,,,995.4,0.0
2015-07-02 11:00:00+00:00,1662.0,,,995.3,0.0
2015-07-02 12:00:00+00:00,1663.0,,,994.7,0.0
2015-07-02 13:00:00+00:00,,20.9,72.4,994.6,0.0
2015-07-02 14:00:00+00:00,1695.0,19.8,76.1,995.2,0.0
2015-07-02 15:00:00+00:00,1711.0,14.5,90.3,996.4,0.0
2015-07-02 16:00:00+00:00,1713.0,16.8,77.4,996.7,0.0
2015-07-02 17:00:00+00:00,1665.0,17.9,73.6,997.4,0.0
2015-07-02 18:00:00+00:00,1697.0,17.7,71.0,998.0,0.0
2015-07-02 19:00:00+00:00,1761.0,15.5,81.1,999.0,0.0
2015-07-02 20:00:00+00:00,1741.0,12.8,90.1,999.4,0.0
2015-07-02 21:00:00+00:00,1729.0,13.0,90.1,1000.0,0.0
2015-07-02 22:00:00+00:00,1697.0,12.5,93.6,1000.2,0.0
2015-07-02 23:00:00+00:00,1603.0,11.8,95.5,1000.2,0.0
2015-07-03 00:00:00+00:00,1763.0,11.3,95.6,1000.4,0.0
2015-07-03 01:00:00+00:00,1677.0,10.8,97.5,1000.9,0.0
2015-07-03 02:00:00+00:00,1625.0,11.8,95.2,1001.3,0.0
2015-07-03 03:00:00+00:00,1630.0,10.7,95.4,1001.4,0.0
2015-07-03 04:00:00+00:00,1619.0,12.3,93.0,1001.2,0.0
2015-07-03 05:00:00+00:00,1600.0,14.1,88.9,1001.5,0.0
2015-07-03 06:00:00+00:00,1697.0,15.5,86.8,1001.8,0.0
2015-07-03 07:00:00+00:00,1705.0,16.9,79.8,1002.0,0.0
2015-07-03 08:00:00+00:00,1676.0,17.8,65.5,1001.7,0.0
2015-07-03 09:00:00+00:00,1617.0,19.0,56.6,1001.4,0.0
2015-07-03 10:00:00+00:00,1706.0,21.0,55.6,1000.8,0.0
2015-07-03 11:00:00+00:00,1665.0,21.5,43.1,1000.1,0.0
2015-07-03 12:00:00+00:00,1713.0,23.1,43.5,999.3,0.0
2015-07-03 13:00:00+00:00,1666.0,23.3,44.6,998.6,0.0
2015-07-03 14:00:00+00:00,1687.0,23.9,41.7,998.3,0.0
2015-07-03 15:00:00+00:00,1758.0,24.2,46.8,997.2,0.0
2015-07-03 16:00:00+00:00,1741.0,24.8,49.6,996.4,0.0
2015-07-03 17:00:00+00:00,1671.0,22.6,56.9,996.0,0.0
2015-07-03 18:00:00+00:00,1751.0,21.4,58.7,995.5,0.0
2015-07-03 19:00:00+00:00,1698.0,20.1,63.7,995.0,0.0
2015-07-03 20:00:00+00:00,1751.0,18.6,70.3,994.5,0.0
2015-07-03 21:00:00+00:00,1664.0,18.1,71.4,994.0,0.0
2015-07-03 22:00:00+00:00,1775.0,17.7,74.5,992.8,0.0
2015-07-03 23:00:00+00:00,1766.0,16.7,84.9,991.8,0.0
2015-07-04 00:00:00+00:00,1692.0,15.7,93.8,991.7,0.8
2015-07-04 01:00:00+00:00,1761.0,15.7,92.6,990.5,0.0
2015-07-04 02:00:00+00:00,1649.0,15.8,97.2,990.9,0.0
2015-07-04 03:00:00+00:00,1740.0,16.1,98.9,990.8,0.0
2015-07-04 04:00:00+00:00,1629.0,15.9,99.7,991.5,0.0
2015-07-04 05:00:00+00:00,1717.0,16.3,98.2,992.4,0.0
2015-07-04 06:00:00+00:00,1763.0,17.4,96.5,992.8,0.0
2015-07-04 07:00:00+00:00,1705.0,18.4,85.7,993.4,0.0
2015-07-04 08:00:00+00:00,1776.0,18.7,82.7,993.9,0.0
2015-07-04 09:00:00+00:00,1755.0,18.8,83.8,994.2,0.0
2015-07-04 10:00:00+00:00,1722.0,19.7,75.0,994.5,0.0
2015-07-04 11:00:00+00:00,1651.0,21.7,64.4,994.7,0.0
2015-07-04 12:00:00+00:00,1723.0,21.7,65.5,994.9,0.0
2015-07-04 13:00:00+00:00,1727.0,22.8,59.6,995.0,0.0
2015-07-04 14:00:00+00:00,1767.0,21.9,60.1,995.5,0.0
2015-07-04 15:00:00+00:00,1748.0,22.8,56.3,995.6,0.0
2015-07-04 16:00:00+00:00,1765.0,22.5,61.6,995.9,0.0
2015-07-04 17:00:00+00:00,1754.0,19.7,66.6,996.1,0.0
2015-07-04 18:00:00+00:00,1685.0,18.2,74.6,996.1,0.0
2015-07-04 19:00:00+00:00,1726.0,16.8,73.0,996.1,0.0
2015-07-04 20:00:00+00:00,1728.0,14.6,81.5,996.5,0.0
2015-07-04 21:00:00+00:00,1777.0,13.4,85.1,996.5,0.0
2015-07-04 22:00:00+00:00,1714.0,12.9,88.3,996.5,0.0
2015-07-04 23:00:00+00:00,1660.0,13.6,82.9,996.4,0.0
2015-07-05 00:00:00+00:00,1721.0,12.8,82.4,996.3,0.0
2015-07-05 01:00:00+00:00,1781.0,12.4,80.8,996.0,0.0
2015-07-05 02:00:00+00:00,1784.0,12.5,78.7,995.6,0.0
2015-07-05 03:00:00+00:00,1687.0,11.6,83.6,995.3,0.0
2015-07-05 04:00:00+00:00,1817.0,11.7,84.6,995.1,0.0
2015-07-05 05:00:00+00:00,1721.0,11.9,88.5,994.8,0.0
2015-07-05 06:00:00+00:00,1801.0,12.1,90.9,994.4,0.0
2015-07-05 07:00:00+00:00,1790.0,13.6,87.0,994.4,0.0
2015-07-05 08:00:00+00:00,1811.0,14.5,85.3,993.7,0.0
2015-07-05 09:00:00+00:00,1779.0,15.7,79.7,993.1,0.0
2015-07-05 10:00:00+00:00,1714.0,17.6,70.7,992.7,0.0
2015-07-05 11:00:00+00:00,1752.0,19.4,65.7,992.4,0.0
2015-07-05 12:00:00+00:00,1829.0,17.6,68.5,992.2,0.0
2015-07-05 13:00:00+00:00,1825.0,16.5,64.9,992.4,0.0
2015-07-05 14:00:00+00:00,1698.0,14.0,86.9,992.7,1.3
2015-07-05 15:00:00+00:00,1752.0,13.3,86.9,992.6,0.0
2015-07-05 16:00:00+00:00,1756.0,13.2,88.2,992.6,1.3
2015-07-05 17:00:00+00:00,1769.0,14.5,87.5,992.8,0.0
2015-07-05 18:00:00+00:00,1795.0,15.3,85.7,993.0,0.0
2015-07-05 19:00:00+00:00,1811.0,14.4,89.6,993.2,0.0
2015-07-05 20:00:00+00:00,1673.0,13.4,93.5,994.0,0.0
2015-07-05 21:00:00+00:00,1712.0,11.5,95.8,994.2,0.0
2015-07-05 22:00:00+00:00,1712.0,10.5,97.1,994.6,0.0
2015-07-05 23:00:00+00:00,1689.0,9.6,97.0,994.8,0.0
2015-07-06 00:00:00+00:00,1760.0,9.2,100.0,995.1,0.0
2015-07-06 01:00:00+00:00,1634.0,9.3,99.0,995.1,0.0
2015-07-06 02:00:00+00:00,1667.0,8.9,99.9,995.3,0.0
2015-07-06 03:00:00+00:00,1693.0,8.5,98.2,995.2,0.0
2015-07-06 04:00:00+00:00,1667.0,9.2,98.0,995.5,0.0
2015-07-06 05:00:00+00:00,1698.0,10.8,96.1,995.8,0.0
2015-07-06 06:00:00+00:00,1705.0,12.8,92.6,995.8,0.0
2015-07-06 07:00:00+00:00,1770.0,14.5,82.1,995.8,0.0
2015-07-06 08:00:00+00:00,1644.0,15.1,80.1,995.5,0.0
2015-07-06 09:00:00+00:00,1682.0,16.7,70.9,995.1,0.0
2015-07-06 10:00:00+00:00,1653.0,17.4,67.7,995.0,0.0
2015-07-06 11:00:00+00:00,1767.0,16.2,65.8,995.0,0.0
2015-07-06 12:00:00+00:00,1718.0,16.6,69.7,994.0,0.0
2015-07-06 13:00:00+00:00,1700.0,17.8,63.7,994.0,0.0
2015-07-06 14:00:00+00:00,1799.0,18.9,62.1,993.5,0.0
2015-07-06 15:00:00+00:00,1702.0,18.6,63.5,993.1,0.0
2015-07-06 16:00:00+00:00,1717.0,18.0,62.6,992.0,0.0
2015-07-06 17:00:00+00:00,1790.0,18.0,63.9,991.7,0.0
2015-07-06 18:00:00+00:00,1851.0,17.2,69.5,991.8,0.0
2015-07-06 19:00:00+00:00,1763.0,16.3,74.0,991.5,0.0
2015-07-06 20:00:00+00:00,1766.0,15.0,77.8,990.8,0.0
2015-07-06 21:00:00+00:00,1767.0,14.1,80.4,990.2,0.0
2015-07-06 22:00:00+00:00,1713.0,13.7,78.9,989.9,0.0
2015-07-06 23:00:00+00:00,1828.0,13.1,83.5,989.2,0.0
2015-07-07 00:00:00+00:00,1800.0,13.1,86.6,989.1,0.0
2015-07-07 01:00:00+00:00,1778.0,13.7,86.4,988.1,0.0
2015-07-07 02:00:00+00:00,1809.0,13.5,90.0,987.4,0.0
2015-07-07 03:00:00+00:00,1825.0,13.5,91.5,986.6,0.0
2015-07-07 04:00:00+00:00,1813.0,14.2,91.0,985.9,0.0
2015-07-07 05:00:00+00:00,1739.0,14.6,97.3,985.5,0.0
2015-07-07 06:00:00+00:00,1849.0,15.1,98.5,985.0,0.0
2015-07-07 07:00:00+00:00,1765.0,16.0,96.2,984.7,0.0
2015-07-07 08:00:00+00:00,1841.0,17.8,87.3,984.2,0.0
2015-07-07 09:00:00+00:00,1873.0,17.2,84.3,984.4,0.0
2015-07-07 10:00:00+00:00,1905.0,16.7,81.7,984.6,0.0
2015-07-07 11:00:00+00:00,1780.0,15.8,78.5,984.7,0.0
2015-07-07 12:00:00+00:00,1874.0,18.8,53.5,984.3,0.0
2015-07-07 13:00:00+00:00,1869.0,20.0,47.1,984.4,0.0
2015-07-07 14:00:00+00:00,1909.0,19.0,54.6,984.4,0.0
2015-07-07 15:00:00+00:00,1836.0,18.1,52.7,984.6,0.0
2015-07-07 16:00:00+00:00,1918.0,17.2,53.0,984.3,0.0
2015-07-07 17:00:00+00:00,1943.0,15.0,64.7,984.6,0.0
2015-07-07 18:00:00+00:00,1880.0,15.6,60.6,984.3,0.0
2015-07-07 19:00:00+00:00,1932.0,13.8,70.1,984.5,0.0
2015-07-07 20:00:00+00:00,1900.0,12.3,77.3,984.7,0.0
2015-07-07 21:00:00+00:00,1878.0,12.2,83.6,984.8,0.0
2015-07-07 22:00:00+00:00,1886.0,12.2,86.2,984.4,0.0
2015-07-07 23:00:00+00:00,1889.0,11.4,91.6,984.2,0.0
2015-07-08 00:00:00+00:00,1910.0,11.6,92.1,983.8,0.0
2015-07-08 01:00:00+00:00,1910.0,11.5,94.3,983.9,0.0
2015-07-08 02:00:00+00:00,1913.0,11.5,96.4,983.6,0.0
2015-07-08 03:00:00+00:00,1914.0,11.6,98.2,983.5,0.3
2015-07-08 04:00:00+00:00,1855.0,12.3,97.7,983.8,0.0
2015-07-08 05:00:00+00:00,1938.0,12.8,94.4,984.4,0.0
2015-07-08 06:00:00+00:00,1823.0,13.7,88.9,985.2,0.0
2015-07-08 07:00:00+00:00,1935.0,15.2,83.6,985.8,0.0
2015-07-08 08:00:00+00:00,1919.0,15.3,80.4,986.4,0.0
2015-07-08 09:00:00+00:00,1859.0,15.8,78.6,986.9,0.0
2015-07-08 10:00:00+00:00,1860.0,17.1,69.1,987.4,0.0
2015-07-08 11:00:00+00:00,1884.0,16.6,73.6,987.9,0.0
2015-07-08 12:00:00+00:00,1837.0,16.6,70.4,988.5,0.0
2015-07-08 13:00:00+00:00,1881.0,16.0,77.5,989.0,0.0
2015-07-08 14:00:00+00:00,1800.0,16.3,70.0,990.1,0.0
2015-07-08 15:00:00+00:00,1752.0,17.0,59.9,990.8,0.0
2015-07-08 16:00:00+00:00,1818.0,17.0,56.6,991.2,0.0
2015-07-08 17:00:00+00:00,1734.0,16.1,58.3,992.1,0.0
2015-07-08 18:00:00+00:00,1770.0,15.4,59.4,992.7,0.0
2015-07-08 19:00:00+00:00,1899.0,13.2,65.9,993.3,0.0
2015-07-08 20:00:00+00:00,1778.0,11.3,73.6,994.4,0.0
2015-07-08 21:00:00+00:00,1814.0,10.1,78.1,995.0,0.0
2015-07-08 22:00:00+00:00,1774.0,9.9,82.4,995.4,0.0
2015-07-08 23:00:00+00:00,1752.0,9.7,84.7,995.6,0.0
2015-07-09 00:00:00+00:00,1721.0,9.4,86.6,995.9,0.0
2015-07-09 01:00:00+00:00,1719.0,8.4,91.5,996.3,0.0
2015-07-09 02:00:00+00:00,1734.0,9.1,90.6,996.4,0.0
2015-07-09 03:00:00+00:00,1744.0,8.1,94.9,996.9,0.0
2015-07-09 04:00:00+00:00,1714.0,9.6,84.4,997.2,0.0
2015-07-09 05:00:00+00:00,1773.0,10.4,80.3,997.9,0.0
2015-07-09 06:00:00+00:00,1711.0,11.8,70.8,998.3,0.0
2015-07-09 07:00:00+00:00,1701.0,13.0,64.1,999.1,0.0
2015-07-09 08:00:00+00:00,1801.0,14.4,59.8,999.8,0.0
2015-07-09 09:00:00+00:00,1778.0,14.8,53.1,999.6,0.0
2015-07-09 10:00:00+00:00,1699.0,15.6,51.8,999.9,0.0
2015-07-09 11:00:00+00:00,1706.0,16.2,55.1,999.7,0.0
2015-07-09 12:00:00+00:00,1745.0,17.9,50.8,999.7,0.0
2015-07-09 13:00:00+00:00,1745.0,18.8,45.8,999.8,0.0
2015-07-09 14:00:00+00:00,1719.0,19.8,41.0,999.5,0.0
2015-07-09 15:00:00+00:00,1780.0,19.8,42.5,999.3,0.0
2015-07-09 16:00:00+00:00,1747.0,19.6,46.9,999.1,0.0
2015-07-09 17:00:00+00:00,1727.0,19.4,48.9,999.2,0.0
2015-07-09 18:00:00+00:00,1696.0,18.8,51.6,999.1,0.0
2015-07-09 19:00:00+00:00,1708.0,16.0,66.4,999.2,0.0
2015-07-09 20:00:00+00:00,1731.0,14.0,72.4,999.4,0.0
2015-07-09 21:00:00+00:00,1693.0,13.6,71.3,999.4,0.0
2015-07-09 22:00:00+00:00,1751.0,12.6,78.7,999.5,0.0
2015-07-09 23:00:00+00:00,1737.0,12.0,83.0,999.2,0.0
2015-07-10 00:00:00+00:00,1670.0,11.1,86.3,998.9,0.0
2015-07-10 01:00:00+00:00,1757.0,11.3,84.6,998.6,0.0
2015-07-10 02:00:00+00:00,1672.0,10.1,89.1,998.3,0.0
2015-07-10 03:00:00+00:00,1736.0,9.8,94.1,998.0,0.0
2015-07-10 04:00:00+00:00,1745.0,11.2,88.9,997.9,0.0
2015-07-10 05:00:00+00:00,1735.0,13.5,81.8,997.7,0.0
2015-07-10 06:00:00+00:00,1778.0,15.3,76.2,997.8,0.0
2015-07-10 07:00:00+00:00,1772.0,16.3,66.8,997.6,0.0
2015-07-10 08:00:00+00:00,1844.0,18.1,56.4,997.4,0.0
2015-07-10 09:00:00+00:00,1773.0,18.4,58.7,996.8,0.0
2015-07-10 10:00:00+00:00,1774.0,19.4,55.5,996.5,0.0
2015-07-10 11:00:00+00:00,1757.0,20.6,44.6,995.7,0.0
2015-07-10 12:00:00+00:00,1893.0,21.9,43.0,995.3,0.0
2015-07-10 13:00:00+00:00,1834.0,22.6,37.4,994.3,0.0
2015-07-10 14:00:00+00:00,1881.0,22.0,33.6,993.8,0.0
2015-07-10 15:00:00+00:00,1711.0,21.3,38.3,993.2,0.0
2015-07-10 16:00:00+00:00,1918.0,20.7,40.8,992.3,0.0
2015-07-10 17:00:00+00:00,1870.0,19.8,44.6,992.4,0.0
2015-07-10 18:00:00+00:00,1870.0,18.5,49.6,991.5,0.0
2015-07-10 19:00:00+00:00,1824.0,16.8,59.1,992.1,0.0
2015-07-10 20:00:00+00:00,1929.0,15.9,63.5,992.1,0.0
2015-07-10 21:00:00+00:00,1851.0,15.6,65.9,992.0,0.0
2015-07-10 22:00:00+00:00,1818.0,14.3,76.5,991.7,0.0
2015-07-10 23:00:00+00:00,1857.0,14.8,70.1,991.2,0.0
2015-07-11 00:00:00+00:00,1847.0,14.6,68.4,991.1,0.0
2015-07-11 01:00:00+00:00,1852.0,13.7,70.5,990.9,0.0
2015-07-11 02:00:00+00:00,1790.0,12.2,79.3,990.6,0.0
2015-07-11 03:00:00+00:00,1779.0,12.4,81.4,990.9,0.0
2015-07-11 04:00:00+00:00,1821.0,12.3,87.6,991.0,0.0
2015-07-11 05:00:00+00:00,1788.0,14.0,86.6,991.4,0.0
2015-07-11 06:00:00+00:00,1797.0,16.0,76.3,992.2,0.0
2015-07-11 07:00:00+00:00,1747.0,16.1,80.4,992.8,0.0
2015-07-11 08:00:00+00:00,1774.0,16.9,83.1,993.2,0.0
2015-07-11 09:00:00+00:00,1818.0,18.1,70.6,993.6,0.0
2015-07-11 10:00:00+00:00,1805.0,19.0,62.4,993.7,0.0
2015-07-11 11:00:00+00:00,1805.0,19.8,56.4,994.0,0.0
2015-07-11 12:00:00+00:00,1720.0,19.9,56.5,994.3,0.0
2015-07-11 13:00:00+00:00,1832.0,19.4,54.5,994.7,0.0
2015-07-11 14:00:00+00:00,1816.0,19.2,53.5,994.7,0.0
2015-07-11 15:00:00+00:00,1896.0,18.5,56.7,994.9,0.0
2015-07-11 16:00:00+00:00,1798.0,18.4,55.3,994.5,0.0
2015-07-11 17:00:00+00:00,1775.0,17.4,57.4,994.6,0.0
2015-07-11 18:00:00+00:00,1824.0,17.0,58.7,994.6,0.0
2015-07-11 19:00:00+00:00,1758.0,15.9,66.9,994.7,0.0
2015-07-11 20:00:00+00:00,1796.0,14.7,74.4,994.7,0.0
2015-07-11 21:00:00+00:00,,14.4,82.1,994.6,0.0
2015-07-11 22:00:00+00:00,,14.4,83.0,994.5,0.0
2015-07-11 23:00:00+00:00,,14.1,84.6,993.9,0.0
2015-07-12 00:00:00+00:00,,13.5,92.9,993.6,0.0
2015-07-12 01:00:00+00:00,,13.2,93.0,993.3,0.0
2015-07-12 02:00:00+00:00,,13.0,93.3,993.2,0.0
2015-07-12 03:00:00+00:00,,13.1,94.3,992.8,0.0
2015-07-12 04:00:00+00:00,,12.9,96.5,992.4,0.0
2015-07-12 05:00:00+00:00,,13.1,96.2,992.3,0.0
2015-07-12 06:00:00+00:00,,14.2,93.6,992.5,0.0
2015-07-12 07:00:00+00:00,,15.4,88.6,992.3,0.0
2015-07-12 08:00:00+00:00,,15.6,88.5,992.7,0.0
2015-07-12 09:00:00+00:00,,15.7,88.7,992.7,0.0
2015-07-12 10:00:00+00:00,,17.0,87.1,992.5,0.0
2015-07-12 11:00:00+00:00,,17.3,84.9,992.4,0.0
2015-07-12 12:00:00+00:00,,18.5,80.0,992.3,0.0
2015-07-12 13:00:00+00:00,,16.9,96.5,992.5,0.0
2015-07-12 14:00:00+00:00,,18.0,92.2,992.5,0.0
2015-07-12 15:00:00+00:00,,18.5,85.8,992.3,0.0
2015-07-12 16:00:00+00:00,,17.2,90.1,992.6,0.0
2015-07-12 17:00:00+00:00,,16.8,90.6,992.2,0.0
2015-07-12 18:00:00+00:00,,16.4,89.2,992.3,0.0
2015-07-12 19:00:00+00:00,,15.9,90.6,992.5,0.0
2015-07-12 20:00:00+00:00,,15.1,95.5,992.9,0.0
2015-07-12 21:00:00+00:00,,14.9,95.6,992.7,0.0
2015-07-12 22:00:00+00:00,,14.3,97.3,992.8,0.0
2015-07-12 23:00:00+00:00,,14.6,98.3,992.6,0.0
2015-07-13 00:00:00+00:00,,14.8,96.9,992.3,0.0
2015-07-13 01:00:00+00:00,,14.6,95.4,992.5,0.0
2015-07-13 02:00:00+00:00,,14.6,95.9,991.8,0.0
2015-07-13 03:00:00+00:00,,14.5,97.5,991.6,0.0
2015-07-13 04:00:00+00:00,,14.1,99.5,991.5,0.0
2015-07-13 05:00:00+00:00,,14.2,99.8,991.3,0.0
2015-07-13 06:00:00+00:00,,14.4,99.5,990.9,0.0
2015-07-13 07:00:00+00:00,,14.5,99.7,990.9,0.0
2015-07-13 08:00:00+00:00,,15.4,98.8,990.6,0.0
2015-07-13 09:00:00+00:00,,16.0,99.0,990.8,0.0
2015-07-13 10:00:00+00:00,,16.4,96.8,990.6,0.0
2015-07-13 11:00:00+00:00,,17.1,92.6,990.6,0.0
2015-07-13 12:00:00+00:00,,17.6,91.8,990.5,0.0
2015-07-13 13:00:00+00:00,,17.3,90.4,990.4,0.0
2015-07-13 14:00:00+00:00,,16.5,98.3,990.3,0.0
2015-07-13 15:00:00+00:00,,17.3,93.0,990.0,0.0
2015-07-13 16:00:00+00:00,,17.2,97.1,990.0,0.0
2015-07-13 17:00:00+00:00,,16.2,97.6,990.6,0.0
2015-07-13 18:00:00+00:00,,15.8,98.2,990.6,0.0
2015-07-13 19:00:00+00:00,,15.5,97.1,990.9,0.0
2015-07-13 20:00:00+00:00,,15.6,94.7,991.5,0.0
2015-07-13 21:00:00+00:00,,15.4,94.8,991.7,0.0
2015-07-13 22:00:00+00:00,,14.9,95.2,991.8,0.0
2015-07-13 23:00:00+00:00,,15.0,94.7,991.9,0.0
2015-07-14 00:00:00+00:00,,14.8,95.5,991.8,0.0
2015-07-14 01:00:00+00:00,,14.7,96.3,991.8,0.0
2015-07-14 02:00:00+00:00,,14.6,94.8,991.7,0.0
2015-07-14 03:00:00+00:00,,14.5,95.1,991.7,0.0
2015-07-14 04:00:00+00:00,,14.2,96.6,992.0,0.0
